order,partition,body part,search term
1,skull,external cranium,[Bb]ill|[Bb]eak
2,skull,external cranium,(^|\s)[Ss]kull
3,skull,external cranium,Condylus\soccipitalis|Cond\.\soccipitalis|Occipital\scondy
4,skull,external cranium,Foramen magnum
5,skull,external cranium,surface\scranium
6,skull,external cranium,naris
7,skull,external cranium,Cranium|Cavum\scrani|[Pp]latycalvaria|\w+\scrani
8,skull,external cranium,[Cc]raniofac
9,skull,external cranium,[Oo]ss.*?\ssutur
10,skull,basis cranii interna,Fossa cranii media
11,skull,basis cranii interna,Fossa cerebelli
12,skull,basis cranii interna,Fossa cranii rostralis
13,skull,ossa cranii,Os basioccipitale
14,skull,ossa cranii,Os exoccipitale
15,skull,ossa cranii,paroccipit
16,skull,ossa cranii,Os supraoccipital
17,skull,ossa cranii,([Oo]s)?(^|\s)laterosphen
18,skull,ossa cranii,Os basisphenoidale|[Bb]asisphenoid
19,skull,basicranium,Basi|Proc.*?basi
20,skull,basicranium,choana
21,skull,basicranium,\bophthalm
22,skull,basicranium,[Oo]ptic\sforam
23,skull,ossa cranii,(Os\s)?parasphenoidal
24,skull,ossa cranii,Lamina parasphenoidalis
25,skull,ossa cranii,[Tt]ub.*?audit
26,skull,ossa cranii,[Ss]quam|Os squamosal|Os squamosum
27,skull,ossa cranii,[Ff]ossa\stemporal
28,skull,ossa cranii,Proc(\.|essus)\szygomaticus
29,skull,ossa cranii,(^|\b)(pro)?otic
30,skull,ossa cranii,Os opisthoticum
31,skull,ossa cranii,Os frontale|Sutura frontoparietalis|Front|Depre.*?\bfrontal|interpariet
32,skull,ossa cranii,\sinterfrontal
33,skull,ossa cranii,Os prefrontale
34,skull,ossa cranii,(Os\s)?[Mm]esethmoid
35,skull,ossa cranii,[Oo]s ect(o)?ethmoid
36,skull,ossa cranii,Os ethmoid
37,skull,ossa cranii,Os lacrima|(?<!\-)(\b|^)[Ll]acr
38,skull,ossa cranii,\sjugolacrim
39,skull,cavum tympanicum,paratympanici
40,skull,cavum tympanicum,meaticus
41,skull,cavum tympanicum,[Cc]olumella
42,skull,cavum tympanicum,Canalis semicircularis
43,skull,cavum tympanicum,[Ee]ustach
44,skull,cavum tympanicum,[Cc]avum\stympan
45,skull,orbit,Orbita
46,skull,orbit,\sinterorb|\sorbito
